Designator,Footprint,Quantity,Value,LCSC Part #
H1,MountingHole_5.3mm_M5,1,MountingHole,
J1,PinSocket_1x03_P2.00mm_Vertical,1,Conn_01x03,
SW1,SS075Q102F035V2A,1,SW_SPDT,
